Serial_number:,1072226,,,,,,,,,,
Project ID:,NCOS Hydrology Monitoring,,,,,,,,,,
Location:,Groundwater Well 12,,,,,,,,,,
LEVEL UNIT: ,ft,,,,,,,,,,
Offset: ,0.000000 ft,,,,,,,,,,
Altitude: ,0.000000 ft,,,,,,,,,,
Density: ,1.000000 kg/L,,,,,,,,,,
TEMPERATURE UNIT: ,Deg C,,,,,,,,,,
CONDUCTIVITY UNIT:,µS/cm,,,,,,,,,,
,,,,,,,,,,,
Date,Time,Date + Time,NOAA Precip (inch),LEVEL (ft.),WSE (ft. NAVD88),Depth from Surface (ft),TEMPERATURE (C),CONDUCTIVITY (uS/cm),CONDUCTIVITY (mS/cm),CONDUCTIVITY (S/m),NOTES
2019/10/17,14:00,10/17/2019 14:00,,0.976,6.876,2.724,18.8,1204,1.204,0.1204,
2019/10/17,14:15,10/17/2019 14:15,,0.978,6.878,2.722,18.8,1203,1.203,0.1203,
2019/10/17,14:30,10/17/2019 14:30,,0.981,6.881,2.719,18.8,1202,1.202,0.1202,
2019/10/17,14:45,10/17/2019 14:45,,0.977,6.877,2.723,18.8,1201,1.201,0.1201,
2019/10/17,15:00,10/17/2019 15:00,,0.976,6.876,2.724,18.8,1200,1.2,0.12,
2019/10/17,15:15,10/17/2019 15:15,,0.974,6.874,2.726,18.8,1199,1.199,0.1199,
2019/10/17,15:30,10/17/2019 15:30,,0.976,6.876,2.724,18.8,1199,1.199,0.1199,
2019/10/17,15:45,10/17/2019 15:45,,0.965,6.865,2.735,18.8,1198,1.198,0.1198,
2019/10/17,16:00,10/17/2019 16:00,,0.967,6.867,2.733,18.8,1198,1.198,0.1198,
2019/10/17,16:15,10/17/2019 16:15,,0.962,6.862,2.738,18.8,1197,1.197,0.1197,
2019/10/17,16:30,10/17/2019 16:30,,0.976,6.876,2.724,18.8,1197,1.197,0.1197,
2019/10/17,16:45,10/17/2019 16:45,,0.967,6.867,2.733,18.8,1196,1.196,0.1196,
2019/10/17,17:00,10/17/2019 17:00,,0.961,6.861,2.739,18.8,1196,1.196,0.1196,
2019/10/17,17:15,10/17/2019 17:15,,0.944,6.844,2.756,18.8,1196,1.196,0.1196,
2019/10/17,17:30,10/17/2019 17:30,,0.941,6.841,2.759,18.8,1196,1.196,0.1196,
2019/10/17,17:45,10/17/2019 17:45,,0.945,6.845,2.755,18.8,1194,1.194,0.1194,
2019/10/17,18:00,10/17/2019 18:00,,0.951,6.851,2.749,18.8,1194,1.194,0.1194,
2019/10/17,18:15,10/17/2019 18:15,,0.933,6.833,2.767,18.8,1193,1.193,0.1193,
2019/10/17,18:30,10/17/2019 18:30,,0.93,6.83,2.77,18.8,1193,1.193,0.1193,
2019/10/17,18:45,10/17/2019 18:45,,0.93,6.83,2.77,18.8,1193,1.193,0.1193,
2019/10/17,19:00,10/17/2019 19:00,,0.937,6.837,2.763,18.8,1192,1.192,0.1192,
2019/10/17,19:15,10/17/2019 19:15,,0.929,6.829,2.771,18.8,1191,1.191,0.1191,
2019/10/17,19:30,10/17/2019 19:30,,0.917,6.817,2.783,18.8,1191,1.191,0.1191,
2019/10/17,19:45,10/17/2019 19:45,,0.924,6.824,2.776,18.8,1190,1.19,0.119,
2019/10/17,20:00,10/17/2019 20:00,,0.909,6.809,2.791,18.8,1190,1.19,0.119,
2019/10/17,20:15,10/17/2019 20:15,,0.917,6.817,2.783,18.8,1190,1.19,0.119,
2019/10/17,20:30,10/17/2019 20:30,,0.915,6.815,2.785,18.8,1189,1.189,0.1189,
2019/10/17,20:45,10/17/2019 20:45,,0.924,6.824,2.776,18.8,1189,1.189,0.1189,
2019/10/17,21:00,10/17/2019 21:00,,0.907,6.807,2.793,18.8,1188,1.188,0.1188,
2019/10/17,21:15,10/17/2019 21:15,,0.907,6.807,2.793,18.8,1187,1.187,0.1187,
2019/10/17,21:30,10/17/2019 21:30,,0.9,6.8,2.8,18.8,1187,1.187,0.1187,
2019/10/17,21:45,10/17/2019 21:45,,0.912,6.812,2.788,18.8,1186,1.186,0.1186,
2019/10/17,22:00,10/17/2019 22:00,,0.903,6.803,2.797,18.8,1186,1.186,0.1186,
2019/10/17,22:15,10/17/2019 22:15,,0.9,6.8,2.8,18.8,1185,1.185,0.1185,
2019/10/17,22:30,10/17/2019 22:30,,0.887,6.787,2.813,18.8,1184,1.184,0.1184,
2019/10/17,22:45,10/17/2019 22:45,,0.9,6.8,2.8,18.8,1184,1.184,0.1184,
2019/10/17,23:00,10/17/2019 23:00,,0.893,6.793,2.807,18.8,1183,1.183,0.1183,
2019/10/17,23:15,10/17/2019 23:15,,0.885,6.785,2.815,18.8,1183,1.183,0.1183,
2019/10/17,23:30,10/17/2019 23:30,,0.876,6.776,2.824,18.8,1182,1.182,0.1182,
2019/10/17,23:45,10/17/2019 23:45,,0.898,6.798,2.802,18.8,1182,1.182,0.1182,
2019/10/18,0:00,10/18/2019 0:00,,0.893,6.793,2.807,18.8,1181,1.181,0.1181,
2019/10/18,0:15,10/18/2019 0:15,,0.897,6.797,2.803,18.8,1181,1.181,0.1181,
2019/10/18,0:30,10/18/2019 0:30,,0.888,6.788,2.812,18.8,1181,1.181,0.1181,
2019/10/18,0:45,10/18/2019 0:45,,0.89,6.79,2.81,18.8,1180,1.18,0.118,
2019/10/18,1:00,10/18/2019 1:00,,0.883,6.783,2.817,18.8,1180,1.18,0.118,
2019/10/18,1:15,10/18/2019 1:15,,0.901,6.801,2.799,18.8,1179,1.179,0.1179,
2019/10/18,1:30,10/18/2019 1:30,,0.887,6.787,2.813,18.8,1179,1.179,0.1179,
2019/10/18,1:45,10/18/2019 1:45,,0.884,6.784,2.816,18.8,1179,1.179,0.1179,
2019/10/18,2:00,10/18/2019 2:00,,0.891,6.791,2.809,18.8,1179,1.179,0.1179,
2019/10/18,2:15,10/18/2019 2:15,,0.884,6.784,2.816,18.8,1178,1.178,0.1178,
2019/10/18,2:30,10/18/2019 2:30,,0.87,6.77,2.83,18.8,1178,1.178,0.1178,
2019/10/18,2:45,10/18/2019 2:45,,0.888,6.788,2.812,18.8,1178,1.178,0.1178,
2019/10/18,3:00,10/18/2019 3:00,,0.871,6.771,2.829,18.8,1178,1.178,0.1178,
2019/10/18,3:15,10/18/2019 3:15,,0.876,6.776,2.824,18.8,1177,1.177,0.1177,
2019/10/18,3:30,10/18/2019 3:30,,0.873,6.773,2.827,18.8,1177,1.177,0.1177,
2019/10/18,3:45,10/18/2019 3:45,,0.876,6.776,2.824,18.8,1177,1.177,0.1177,
2019/10/18,4:00,10/18/2019 4:00,,0.873,6.773,2.827,18.8,1177,1.177,0.1177,
2019/10/18,4:15,10/18/2019 4:15,,0.866,6.766,2.834,18.8,1176,1.176,0.1176,
2019/10/18,4:30,10/18/2019 4:30,,0.881,6.781,2.819,18.8,1176,1.176,0.1176,
2019/10/18,4:45,10/18/2019 4:45,,0.869,6.769,2.831,18.8,1176,1.176,0.1176,
2019/10/18,5:00,10/18/2019 5:00,,0.861,6.761,2.839,18.8,1175,1.175,0.1175,
2019/10/18,5:15,10/18/2019 5:15,,0.861,6.761,2.839,18.8,1175,1.175,0.1175,
2019/10/18,5:30,10/18/2019 5:30,,0.869,6.769,2.831,18.8,1174,1.174,0.1174,
2019/10/18,5:45,10/18/2019 5:45,,0.872,6.772,2.828,18.8,1174,1.174,0.1174,
2019/10/18,6:00,10/18/2019 6:00,,0.858,6.758,2.842,18.8,1174,1.174,0.1174,
2019/10/18,6:15,10/18/2019 6:15,,0.855,6.755,2.845,18.8,1174,1.174,0.1174,
2019/10/18,6:30,10/18/2019 6:30,,0.861,6.761,2.839,18.8,1173,1.173,0.1173,
2019/10/18,6:45,10/18/2019 6:45,,0.857,6.757,2.843,18.8,1173,1.173,0.1173,
2019/10/18,7:00,10/18/2019 7:00,,0.861,6.761,2.839,18.8,1172,1.172,0.1172,
2019/10/18,7:15,10/18/2019 7:15,,0.858,6.758,2.842,18.8,1172,1.172,0.1172,
2019/10/18,7:30,10/18/2019 7:30,,0.856,6.756,2.844,18.8,1172,1.172,0.1172,
2019/10/18,7:45,10/18/2019 7:45,,0.847,6.747,2.853,18.8,1172,1.172,0.1172,
2019/10/18,8:00,10/18/2019 8:00,,0.865,6.765,2.835,18.8,1172,1.172,0.1172,
2019/10/18,8:15,10/18/2019 8:15,,0.859,6.759,2.841,18.8,1172,1.172,0.1172,
2019/10/18,8:30,10/18/2019 8:30,,0.848,6.748,2.852,18.8,1171,1.171,0.1171,
2019/10/18,8:45,10/18/2019 8:45,,0.845,6.745,2.855,18.8,1171,1.171,0.1171,
2019/10/18,9:00,10/18/2019 9:00,,0.85,6.75,2.85,18.8,1171,1.171,0.1171,
2019/10/18,9:15,10/18/2019 9:15,,0.855,6.755,2.845,18.8,1171,1.171,0.1171,
2019/10/18,9:30,10/18/2019 9:30,,0.853,6.753,2.847,18.8,1170,1.17,0.117,
2019/10/18,9:45,10/18/2019 9:45,,0.852,6.752,2.848,18.8,1170,1.17,0.117,
2019/10/18,10:00,10/18/2019 10:00,,0.858,6.758,2.842,18.8,1170,1.17,0.117,
2019/10/18,10:15,10/18/2019 10:15,,0.848,6.748,2.852,18.8,1170,1.17,0.117,
2019/10/18,10:30,10/18/2019 10:30,,0.86,6.76,2.84,18.8,1170,1.17,0.117,
2019/10/18,10:45,10/18/2019 10:45,,0.851,6.751,2.849,18.8,1169,1.169,0.1169,
2019/10/18,11:00,10/18/2019 11:00,,0.87,6.77,2.83,18.8,1169,1.169,0.1169,
2019/10/18,11:15,10/18/2019 11:15,,0.859,6.759,2.841,18.8,1169,1.169,0.1169,
2019/10/18,11:30,10/18/2019 11:30,,0.854,6.754,2.846,18.8,1169,1.169,0.1169,
2019/10/18,11:45,10/18/2019 11:45,,0.866,6.766,2.834,18.8,1168,1.168,0.1168,
2019/10/18,12:00,10/18/2019 12:00,,0.873,6.773,2.827,18.8,1169,1.169,0.1169,
2019/10/18,12:15,10/18/2019 12:15,,0.871,6.771,2.829,18.8,1168,1.168,0.1168,
2019/10/18,12:30,10/18/2019 12:30,,0.874,6.774,2.826,18.8,1168,1.168,0.1168,
2019/10/18,12:45,10/18/2019 12:45,,0.87,6.77,2.83,18.8,1168,1.168,0.1168,
2019/10/18,13:00,10/18/2019 13:00,,0.882,6.782,2.818,18.8,1168,1.168,0.1168,
2019/10/18,13:15,10/18/2019 13:15,,0.88,6.78,2.82,18.8,1168,1.168,0.1168,
2019/10/18,13:30,10/18/2019 13:30,,0.882,6.782,2.818,18.8,1168,1.168,0.1168,
2019/10/18,13:45,10/18/2019 13:45,,0.881,6.781,2.819,18.8,1168,1.168,0.1168,
2019/10/18,14:00,10/18/2019 14:00,,0.877,6.777,2.823,18.8,1168,1.168,0.1168,
2019/10/18,14:15,10/18/2019 14:15,,0.888,6.788,2.812,18.8,1168,1.168,0.1168,
2019/10/18,14:30,10/18/2019 14:30,,0.879,6.779,2.821,18.8,1168,1.168,0.1168,
2019/10/18,14:45,10/18/2019 14:45,,0.877,6.777,2.823,18.8,1168,1.168,0.1168,
2019/10/18,15:00,10/18/2019 15:00,,0.874,6.774,2.826,18.8,1167,1.167,0.1167,
2019/10/18,15:15,10/18/2019 15:15,,0.884,6.784,2.816,18.8,1168,1.168,0.1168,
2019/10/18,15:30,10/18/2019 15:30,,0.881,6.781,2.819,18.8,1167,1.167,0.1167,
2019/10/18,15:45,10/18/2019 15:45,,0.879,6.779,2.821,18.8,1167,1.167,0.1167,
2019/10/18,16:00,10/18/2019 16:00,,0.863,6.763,2.837,18.8,1167,1.167,0.1167,
2019/10/18,16:15,10/18/2019 16:15,,0.859,6.759,2.841,18.8,1167,1.167,0.1167,
2019/10/18,16:30,10/18/2019 16:30,,0.865,6.765,2.835,18.8,1167,1.167,0.1167,
2019/10/18,16:45,10/18/2019 16:45,,0.854,6.754,2.846,18.8,1167,1.167,0.1167,
2019/10/18,17:00,10/18/2019 17:00,,0.864,6.764,2.836,18.8,1167,1.167,0.1167,
2019/10/18,17:15,10/18/2019 17:15,,0.855,6.755,2.845,18.8,1167,1.167,0.1167,
2019/10/18,17:30,10/18/2019 17:30,,0.855,6.755,2.845,18.8,1166,1.166,0.1166,
2019/10/18,17:45,10/18/2019 17:45,,0.846,6.746,2.854,18.8,1166,1.166,0.1166,
2019/10/18,18:00,10/18/2019 18:00,,0.85,6.75,2.85,18.8,1166,1.166,0.1166,
2019/10/18,18:15,10/18/2019 18:15,,0.846,6.746,2.854,18.8,1166,1.166,0.1166,
2019/10/18,18:30,10/18/2019 18:30,,0.853,6.753,2.847,18.8,1166,1.166,0.1166,
2019/10/18,18:45,10/18/2019 18:45,,0.849,6.749,2.851,18.8,1166,1.166,0.1166,
2019/10/18,19:00,10/18/2019 19:00,,0.838,6.738,2.862,18.8,1165,1.165,0.1165,
2019/10/18,19:15,10/18/2019 19:15,,0.84,6.74,2.86,18.8,1165,1.165,0.1165,
2019/10/18,19:30,10/18/2019 19:30,,0.832,6.732,2.868,18.8,1165,1.165,0.1165,
2019/10/18,19:45,10/18/2019 19:45,,0.838,6.738,2.862,18.8,1165,1.165,0.1165,
2019/10/18,20:00,10/18/2019 20:00,,0.841,6.741,2.859,18.8,1165,1.165,0.1165,
2019/10/18,20:15,10/18/2019 20:15,,0.827,6.727,2.873,18.8,1164,1.164,0.1164,
2019/10/18,20:30,10/18/2019 20:30,,0.83,6.73,2.87,18.8,1164,1.164,0.1164,
2019/10/18,20:45,10/18/2019 20:45,,0.841,6.741,2.859,18.8,1164,1.164,0.1164,
2019/10/18,21:00,10/18/2019 21:00,,0.814,6.714,2.886,18.8,1164,1.164,0.1164,
2019/10/18,21:15,10/18/2019 21:15,,0.81,6.71,2.89,18.8,1164,1.164,0.1164,
2019/10/18,21:30,10/18/2019 21:30,,0.808,6.708,2.892,18.8,1163,1.163,0.1163,
2019/10/18,21:45,10/18/2019 21:45,,0.808,6.708,2.892,18.8,1164,1.164,0.1164,
2019/10/18,22:00,10/18/2019 22:00,,0.811,6.711,2.889,18.8,1164,1.164,0.1164,
2019/10/18,22:15,10/18/2019 22:15,,0.805,6.705,2.895,18.8,1164,1.164,0.1164,
2019/10/18,22:30,10/18/2019 22:30,,0.818,6.718,2.882,18.8,1163,1.163,0.1163,
2019/10/18,22:45,10/18/2019 22:45,,0.797,6.697,2.903,18.8,1164,1.164,0.1164,
2019/10/18,23:00,10/18/2019 23:00,,0.819,6.719,2.881,18.8,1163,1.163,0.1163,
2019/10/18,23:15,10/18/2019 23:15,,0.803,6.703,2.897,18.8,1163,1.163,0.1163,
2019/10/18,23:30,10/18/2019 23:30,,0.812,6.712,2.888,18.8,1163,1.163,0.1163,
2019/10/18,23:45,10/18/2019 23:45,,0.805,6.705,2.895,18.8,1163,1.163,0.1163,
2019/10/19,0:00,10/19/2019 0:00,,0.801,6.701,2.899,18.8,1163,1.163,0.1163,
2019/10/19,0:15,10/19/2019 0:15,,0.811,6.711,2.889,18.8,1163,1.163,0.1163,
2019/10/19,0:30,10/19/2019 0:30,,0.807,6.707,2.893,18.8,1163,1.163,0.1163,
2019/10/19,0:45,10/19/2019 0:45,,0.797,6.697,2.903,18.8,1163,1.163,0.1163,
2019/10/19,1:00,10/19/2019 1:00,,0.811,6.711,2.889,18.7,1164,1.164,0.1164,
2019/10/19,1:15,10/19/2019 1:15,,0.807,6.707,2.893,18.8,1164,1.164,0.1164,
2019/10/19,1:30,10/19/2019 1:30,,0.81,6.71,2.89,18.7,1164,1.164,0.1164,
2019/10/19,1:45,10/19/2019 1:45,,0.803,6.703,2.897,18.8,1164,1.164,0.1164,
2019/10/19,2:00,10/19/2019 2:00,,0.808,6.708,2.892,18.8,1164,1.164,0.1164,
2019/10/19,2:15,10/19/2019 2:15,,0.802,6.702,2.898,18.7,1163,1.163,0.1163,
2019/10/19,2:30,10/19/2019 2:30,,0.814,6.714,2.886,18.8,1164,1.164,0.1164,
2019/10/19,2:45,10/19/2019 2:45,,0.812,6.712,2.888,18.7,1164,1.164,0.1164,
2019/10/19,3:00,10/19/2019 3:00,,0.809,6.709,2.891,18.7,1164,1.164,0.1164,
2019/10/19,3:15,10/19/2019 3:15,,0.812,6.712,2.888,18.7,1164,1.164,0.1164,
2019/10/19,3:30,10/19/2019 3:30,,0.82,6.72,2.88,18.7,1164,1.164,0.1164,
2019/10/19,3:45,10/19/2019 3:45,,0.819,6.719,2.881,18.7,1164,1.164,0.1164,
2019/10/19,4:00,10/19/2019 4:00,,0.817,6.717,2.883,18.7,1164,1.164,0.1164,
2019/10/19,4:15,10/19/2019 4:15,,0.815,6.715,2.885,18.7,1164,1.164,0.1164,
2019/10/19,4:30,10/19/2019 4:30,,0.813,6.713,2.887,18.7,1165,1.165,0.1165,
2019/10/19,4:45,10/19/2019 4:45,,0.812,6.712,2.888,18.7,1165,1.165,0.1165,
2019/10/19,5:00,10/19/2019 5:00,,0.806,6.706,2.894,18.7,1164,1.164,0.1164,
2019/10/19,5:15,10/19/2019 5:15,,0.808,6.708,2.892,18.7,1164,1.164,0.1164,
2019/10/19,5:30,10/19/2019 5:30,,0.807,6.707,2.893,18.7,1165,1.165,0.1165,
2019/10/19,5:45,10/19/2019 5:45,,0.813,6.713,2.887,18.7,1164,1.164,0.1164,
2019/10/19,6:00,10/19/2019 6:00,,0.803,6.703,2.897,18.7,1164,1.164,0.1164,
2019/10/19,6:15,10/19/2019 6:15,,0.804,6.704,2.896,18.7,1164,1.164,0.1164,
2019/10/19,6:30,10/19/2019 6:30,,0.812,6.712,2.888,18.7,1165,1.165,0.1165,
2019/10/19,6:45,10/19/2019 6:45,,0.808,6.708,2.892,18.7,1165,1.165,0.1165,
2019/10/19,7:00,10/19/2019 7:00,,0.809,6.709,2.891,18.7,1164,1.164,0.1164,
2019/10/19,7:15,10/19/2019 7:15,,0.799,6.699,2.901,18.7,1165,1.165,0.1165,
2019/10/19,7:30,10/19/2019 7:30,,0.812,6.712,2.888,18.7,1164,1.164,0.1164,
2019/10/19,7:45,10/19/2019 7:45,,0.803,6.703,2.897,18.7,1164,1.164,0.1164,
2019/10/19,8:00,10/19/2019 8:00,,0.797,6.697,2.903,18.7,1164,1.164,0.1164,
2019/10/19,8:15,10/19/2019 8:15,,0.789,6.689,2.911,18.7,1165,1.165,0.1165,
2019/10/19,8:30,10/19/2019 8:30,,0.802,6.702,2.898,18.7,1164,1.164,0.1164,
2019/10/19,8:45,10/19/2019 8:45,,0.793,6.693,2.907,18.7,1164,1.164,0.1164,
2019/10/19,9:00,10/19/2019 9:00,,0.807,6.707,2.893,18.7,1164,1.164,0.1164,
2019/10/19,9:15,10/19/2019 9:15,,0.804,6.704,2.896,18.7,1165,1.165,0.1165,
2019/10/19,9:30,10/19/2019 9:30,,0.809,6.709,2.891,18.7,1165,1.165,0.1165,
