Serial_number:,1072226,,,,,,,,,,,,
Project ID:,NCOS Hydrology Monitoring,,,,,,,,,,,,
Location:,Groundwater Well 12,,,,,,,,,,,,
LEVEL UNIT:,ft,,,,,,,,,,,,
Offset:,0.000000 ft,,,,,,,,,,,,
Altitude: ,0.000000 ft,,,,,,,,,,,,
Density: ,1.000000 kg/L,,,,,,,,,,,,
TEMPERATURE UNIT:, °C,,,,,,,,,,,,
CONDUCTIVITY UNIT:, µS/cm,,,,,,,,,,,,
,,,,,,,,,,,,,
Date,Time,DST,Date & Time,Week of WY2019,TEMPERATURE (C),CONDUCTIVITY (uS/cm),CONDUCTIVITY (S/m),Water LEVEL (ft.),WSE (ft),NOAA Hourly Rainfall (inch),NOTES,,
10/1/2018,15:00,15:00,10/1/2018 15:00,1,21,1379,0.1379,0.864,6.774,,,,
10/1/2018,15:15,15:15,10/1/2018 15:15,1,21,1379,0.1379,0.873,6.783,,,,
10/1/2018,15:30,15:30,10/1/2018 15:30,1,21,1379,0.1379,0.855,6.765,,,,
10/1/2018,15:45,15:45,10/1/2018 15:45,1,21,1380,0.138,0.872,6.782,,,,
10/1/2018,16:00,16:00,10/1/2018 16:00,1,21,1379,0.1379,0.86,6.77,,,,
10/1/2018,16:15,16:15,10/1/2018 16:15,1,21,1380,0.138,0.861,6.771,,,,
10/1/2018,16:30,16:30,10/1/2018 16:30,1,21,1379,0.1379,0.856,6.766,,,,
10/1/2018,16:45,16:45,10/1/2018 16:45,1,21,1379,0.1379,0.853,6.763,,,,
10/1/2018,17:00,17:00,10/1/2018 17:00,1,21,1380,0.138,0.851,6.761,,,,
10/1/2018,17:15,17:15,10/1/2018 17:15,1,21,1380,0.138,0.864,6.774,,,,
10/1/2018,17:30,17:30,10/1/2018 17:30,1,21,1380,0.138,0.847,6.757,,,,
10/1/2018,17:45,17:45,10/1/2018 17:45,1,21,1380,0.138,0.849,6.759,,,,
10/1/2018,18:00,18:00,10/1/2018 18:00,1,21,1380,0.138,0.837,6.747,,,,
10/1/2018,18:15,18:15,10/1/2018 18:15,1,21,1380,0.138,0.838,6.748,,,,
10/1/2018,18:30,18:30,10/1/2018 18:30,1,21,1381,0.1381,0.831,6.741,,,,
10/1/2018,18:45,18:45,10/1/2018 18:45,1,21,1381,0.1381,0.844,6.754,,,,
10/1/2018,19:00,19:00,10/1/2018 19:00,1,21,1381,0.1381,0.834,6.744,,,,
10/1/2018,19:15,19:15,10/1/2018 19:15,1,21,1381,0.1381,0.838,6.748,,,,
10/1/2018,19:30,19:30,10/1/2018 19:30,1,21,1381,0.1381,0.827,6.737,,,,
10/1/2018,19:45,19:45,10/1/2018 19:45,1,21,1381,0.1381,0.829,6.739,,,,
10/1/2018,20:00,20:00,10/1/2018 20:00,1,21,1381,0.1381,0.827,6.737,,,,
10/1/2018,20:15,20:15,10/1/2018 20:15,1,21,1381,0.1381,0.815,6.725,,,,
10/1/2018,20:30,20:30,10/1/2018 20:30,1,21,1381,0.1381,0.826,6.736,,,,
10/1/2018,20:45,20:45,10/1/2018 20:45,1,21,1381,0.1381,0.823,6.733,,,,
10/1/2018,21:00,21:00,10/1/2018 21:00,1,21,1381,0.1381,0.824,6.734,,,,
10/1/2018,21:15,21:15,10/1/2018 21:15,1,21,1381,0.1381,0.817,6.727,,,,
10/1/2018,21:30,21:30,10/1/2018 21:30,1,21,1381,0.1381,0.82,6.73,,,,
10/1/2018,21:45,21:45,10/1/2018 21:45,1,21,1381,0.1381,0.817,6.727,,,,
10/1/2018,22:00,22:00,10/1/2018 22:00,1,21,1381,0.1381,0.814,6.724,,,,
10/1/2018,22:15,22:15,10/1/2018 22:15,1,21,1381,0.1381,0.82,6.73,,,,
10/1/2018,22:30,22:30,10/1/2018 22:30,1,21,1380,0.138,0.815,6.725,,,,
10/1/2018,22:45,22:45,10/1/2018 22:45,1,21,1380,0.138,0.82,6.73,,,,
10/1/2018,23:00,23:00,10/1/2018 23:00,1,21,1380,0.138,0.815,6.725,,,,
10/1/2018,23:15,23:15,10/1/2018 23:15,1,21,1380,0.138,0.82,6.73,,,,
10/1/2018,23:30,23:30,10/1/2018 23:30,1,21,1380,0.138,0.816,6.726,,,,
10/1/2018,23:45,23:45,10/1/2018 23:45,1,21,1380,0.138,0.808,6.718,,,,
10/2/2018,0:00,0:00,10/2/2018 0:00,1,21,1380,0.138,0.807,6.717,,,,
10/2/2018,0:15,0:15,10/2/2018 0:15,1,21,1380,0.138,0.806,6.716,,,,
10/2/2018,0:30,0:30,10/2/2018 0:30,1,21,1380,0.138,0.811,6.721,,,,
10/2/2018,0:45,0:45,10/2/2018 0:45,1,21,1380,0.138,0.819,6.729,,,,
10/2/2018,1:00,1:00,10/2/2018 1:00,1,21,1379,0.1379,0.809,6.719,,,,
10/2/2018,1:15,1:15,10/2/2018 1:15,1,21,1379,0.1379,0.812,6.722,,,,
10/2/2018,1:30,1:30,10/2/2018 1:30,1,21,1379,0.1379,0.811,6.721,,,,
10/2/2018,1:45,1:45,10/2/2018 1:45,1,21,1379,0.1379,0.812,6.722,,,,
10/2/2018,2:00,2:00,10/2/2018 2:00,1,21,1379,0.1379,0.823,6.733,,,,
10/2/2018,2:15,2:15,10/2/2018 2:15,1,21,1379,0.1379,0.821,6.731,,,,
10/2/2018,2:30,2:30,10/2/2018 2:30,1,21,1379,0.1379,0.803,6.713,,,,
10/2/2018,2:45,2:45,10/2/2018 2:45,1,21,1379,0.1379,0.819,6.729,,,,
10/2/2018,3:00,3:00,10/2/2018 3:00,1,21,1379,0.1379,0.809,6.719,,,,
10/2/2018,3:15,3:15,10/2/2018 3:15,1,21,1379,0.1379,0.82,6.73,,,,
10/2/2018,3:30,3:30,10/2/2018 3:30,1,21,1379,0.1379,0.817,6.727,,,,
10/2/2018,3:45,3:45,10/2/2018 3:45,1,21,1377,0.1377,0.816,6.726,,,,
10/2/2018,4:00,4:00,10/2/2018 4:00,1,21,1377,0.1377,0.826,6.736,,,,
10/2/2018,4:15,4:15,10/2/2018 4:15,1,21,1379,0.1379,0.824,6.734,,,,
10/2/2018,4:30,4:30,10/2/2018 4:30,1,21,1379,0.1379,0.816,6.726,,,,
10/2/2018,4:45,4:45,10/2/2018 4:45,1,21,1377,0.1377,0.818,6.728,,,,
10/2/2018,5:00,5:00,10/2/2018 5:00,1,21,1377,0.1377,0.835,6.745,,,,
10/2/2018,5:15,5:15,10/2/2018 5:15,1,21,1377,0.1377,0.829,6.739,,,,
10/2/2018,5:30,5:30,10/2/2018 5:30,1,21,1377,0.1377,0.828,6.738,,,,
10/2/2018,5:45,5:45,10/2/2018 5:45,1,21,1377,0.1377,0.827,6.737,,,,
10/2/2018,6:00,6:00,10/2/2018 6:00,1,21,1377,0.1377,0.822,6.732,,,,
10/2/2018,6:15,6:15,10/2/2018 6:15,1,21,1377,0.1377,0.824,6.734,,,,
10/2/2018,6:30,6:30,10/2/2018 6:30,1,21,1377,0.1377,0.812,6.722,,,,
10/2/2018,6:45,6:45,10/2/2018 6:45,1,21,1377,0.1377,0.819,6.729,,,,
10/2/2018,7:00,7:00,10/2/2018 7:00,1,21,1377,0.1377,0.834,6.744,,,,
10/2/2018,7:15,7:15,10/2/2018 7:15,1,21,1377,0.1377,0.83,6.74,,,,
10/2/2018,7:30,7:30,10/2/2018 7:30,1,21,1377,0.1377,0.828,6.738,,,,
10/2/2018,7:45,7:45,10/2/2018 7:45,1,21,1377,0.1377,0.823,6.733,,,,
10/2/2018,8:00,8:00,10/2/2018 8:00,1,21,1377,0.1377,0.831,6.741,,,,
10/2/2018,8:15,8:15,10/2/2018 8:15,1,21,1377,0.1377,0.821,6.731,,,,
10/2/2018,8:30,8:30,10/2/2018 8:30,1,21,1377,0.1377,0.824,6.734,,,,
10/2/2018,8:45,8:45,10/2/2018 8:45,1,21,1377,0.1377,0.818,6.728,,,,
10/2/2018,9:00,9:00,10/2/2018 9:00,1,21,1377,0.1377,0.835,6.745,,,,
10/2/2018,9:15,9:15,10/2/2018 9:15,1,21,1377,0.1377,0.82,6.73,,,,
10/2/2018,9:30,9:30,10/2/2018 9:30,1,21,1377,0.1377,0.837,6.747,,,,
10/2/2018,9:45,9:45,10/2/2018 9:45,1,21,1377,0.1377,0.827,6.737,,,,
10/2/2018,10:00,10:00,10/2/2018 10:00,1,21,1377,0.1377,0.835,6.745,,,,
10/2/2018,10:15,10:15,10/2/2018 10:15,1,21,1377,0.1377,0.848,6.758,,,,
10/2/2018,10:30,10:30,10/2/2018 10:30,1,21,1377,0.1377,0.838,6.748,,,,
10/2/2018,10:45,10:45,10/2/2018 10:45,1,21,1377,0.1377,0.828,6.738,,,,
10/2/2018,11:00,11:00,10/2/2018 11:00,1,21,1377,0.1377,0.82,6.73,,,,
10/2/2018,11:15,11:15,10/2/2018 11:15,1,21,1377,0.1377,0.827,6.737,,,,
10/2/2018,11:30,11:30,10/2/2018 11:30,1,21,1377,0.1377,0.855,6.765,,,,
10/2/2018,11:45,11:45,10/2/2018 11:45,1,21,1377,0.1377,0.844,6.754,,,,
10/2/2018,12:00,12:00,10/2/2018 12:00,1,21,1377,0.1377,0.844,6.754,,,,
10/2/2018,12:15,12:15,10/2/2018 12:15,1,21,1377,0.1377,0.851,6.761,,,,
10/2/2018,12:30,12:30,10/2/2018 12:30,1,21,1377,0.1377,0.843,6.753,,,,
10/2/2018,12:45,12:45,10/2/2018 12:45,1,21,1377,0.1377,0.855,6.765,,,,
10/2/2018,13:00,13:00,10/2/2018 13:00,1,21,1377,0.1377,0.853,6.763,,,,
10/2/2018,13:15,13:15,10/2/2018 13:15,1,21,1377,0.1377,0.848,6.758,,,,
10/2/2018,13:30,13:30,10/2/2018 13:30,1,21,1377,0.1377,0.862,6.772,,,,
10/2/2018,13:45,13:45,10/2/2018 13:45,1,21,1377,0.1377,0.855,6.765,,,,
10/2/2018,14:00,14:00,10/2/2018 14:00,1,21,1379,0.1379,0.859,6.769,,,,
10/2/2018,14:15,14:15,10/2/2018 14:15,1,21,1379,0.1379,0.846,6.756,,,,
10/2/2018,14:30,14:30,10/2/2018 14:30,1,21,1377,0.1377,0.847,6.757,,,,
10/2/2018,14:45,14:45,10/2/2018 14:45,1,21,1379,0.1379,0.845,6.755,,,,
10/2/2018,15:00,15:00,10/2/2018 15:00,1,21,1377,0.1377,0.858,6.768,,,,
10/2/2018,15:15,15:15,10/2/2018 15:15,1,21,1377,0.1377,0.845,6.755,,,,
10/2/2018,15:30,15:30,10/2/2018 15:30,1,21,1377,0.1377,0.849,6.759,,,,
10/2/2018,15:45,15:45,10/2/2018 15:45,1,21,1379,0.1379,0.855,6.765,,,,
10/2/2018,16:00,16:00,10/2/2018 16:00,1,21,1379,0.1379,0.845,6.755,,,,
10/2/2018,16:15,16:15,10/2/2018 16:15,1,21,1377,0.1377,0.843,6.753,,,,
10/2/2018,16:30,16:30,10/2/2018 16:30,1,21,1379,0.1379,0.84,6.75,,,,
10/2/2018,16:45,16:45,10/2/2018 16:45,1,21,1379,0.1379,0.839,6.749,,,,
10/2/2018,17:00,17:00,10/2/2018 17:00,1,21,1379,0.1379,0.844,6.754,,,,
10/2/2018,17:15,17:15,10/2/2018 17:15,1,21,1379,0.1379,0.833,6.743,,,,
10/2/2018,17:30,17:30,10/2/2018 17:30,1,21,1379,0.1379,0.835,6.745,,,,
10/2/2018,17:45,17:45,10/2/2018 17:45,1,21,1379,0.1379,0.832,6.742,,,,
10/2/2018,18:00,18:00,10/2/2018 18:00,1,21,1379,0.1379,0.826,6.736,,,,
10/2/2018,18:15,18:15,10/2/2018 18:15,1,21,1379,0.1379,0.833,6.743,,,,
10/2/2018,18:30,18:30,10/2/2018 18:30,1,21,1379,0.1379,0.835,6.745,,,,
10/2/2018,18:45,18:45,10/2/2018 18:45,1,21,1379,0.1379,0.825,6.735,,,,
10/2/2018,19:00,19:00,10/2/2018 19:00,1,21,1379,0.1379,0.822,6.732,,,,
10/2/2018,19:15,19:15,10/2/2018 19:15,1,21,1379,0.1379,0.813,6.723,,,,
10/2/2018,19:30,19:30,10/2/2018 19:30,1,21,1379,0.1379,0.819,6.729,,,,
10/2/2018,19:45,19:45,10/2/2018 19:45,1,21,1379,0.1379,0.825,6.735,,,,
10/2/2018,20:00,20:00,10/2/2018 20:00,1,21,1379,0.1379,0.809,6.719,,,,
10/2/2018,20:15,20:15,10/2/2018 20:15,1,21,1379,0.1379,0.827,6.737,,,,
10/2/2018,20:30,20:30,10/2/2018 20:30,1,21,1377,0.1377,0.812,6.722,,,,
10/2/2018,20:45,20:45,10/2/2018 20:45,1,21,1379,0.1379,0.806,6.716,,,,
10/2/2018,21:00,21:00,10/2/2018 21:00,1,21,1379,0.1379,0.812,6.722,,,,
10/2/2018,21:15,21:15,10/2/2018 21:15,1,21,1377,0.1377,0.81,6.72,,,,
10/2/2018,21:30,21:30,10/2/2018 21:30,1,21,1379,0.1379,0.813,6.723,,,,
10/2/2018,21:45,21:45,10/2/2018 21:45,1,21,1379,0.1379,0.82,6.73,,,,
10/2/2018,22:00,22:00,10/2/2018 22:00,1,21,1377,0.1377,0.799,6.709,,,,
10/2/2018,22:15,22:15,10/2/2018 22:15,1,21,1377,0.1377,0.815,6.725,,,,
10/2/2018,22:30,22:30,10/2/2018 22:30,1,21,1377,0.1377,0.798,6.708,,,,
10/2/2018,22:45,22:45,10/2/2018 22:45,1,21,1377,0.1377,0.799,6.709,,,,
10/2/2018,23:00,23:00,10/2/2018 23:00,1,21,1377,0.1377,0.81,6.72,,,,
10/2/2018,23:15,23:15,10/2/2018 23:15,1,21,1377,0.1377,0.808,6.718,,,,
10/2/2018,23:30,23:30,10/2/2018 23:30,1,21,1376,0.1376,0.795,6.705,,,,
10/2/2018,23:45,23:45,10/2/2018 23:45,1,21,1377,0.1377,0.802,6.712,,,,
10/3/2018,0:00,0:00,10/3/2018 0:00,1,21,1376,0.1376,0.807,6.717,,,,
10/3/2018,0:15,0:15,10/3/2018 0:15,1,21,1376,0.1376,0.812,6.722,,,,
10/3/2018,0:30,0:30,10/3/2018 0:30,1,21,1377,0.1377,0.806,6.716,,,,
10/3/2018,0:45,0:45,10/3/2018 0:45,1,21,1377,0.1377,0.822,6.732,,,,
10/3/2018,1:00,1:00,10/3/2018 1:00,1,21,1376,0.1376,0.816,6.726,,,,
10/3/2018,1:15,1:15,10/3/2018 1:15,1,21,1376,0.1376,0.807,6.717,,,,
10/3/2018,1:30,1:30,10/3/2018 1:30,1,21,1376,0.1376,0.815,6.725,,,,
10/3/2018,1:45,1:45,10/3/2018 1:45,1,21,1376,0.1376,0.821,6.731,,,,
10/3/2018,2:00,2:00,10/3/2018 2:00,1,21,1376,0.1376,0.799,6.709,,,,
10/3/2018,2:15,2:15,10/3/2018 2:15,1,21,1376,0.1376,0.806,6.716,,,,
10/3/2018,2:30,2:30,10/3/2018 2:30,1,21,1376,0.1376,0.817,6.727,,,,
10/3/2018,2:45,2:45,10/3/2018 2:45,1,21,1376,0.1376,0.814,6.724,,,,
10/3/2018,3:00,3:00,10/3/2018 3:00,1,21,1376,0.1376,0.823,6.733,,,,
10/3/2018,3:15,3:15,10/3/2018 3:15,1,21,1376,0.1376,0.815,6.725,,,,
10/3/2018,3:30,3:30,10/3/2018 3:30,1,21,1376,0.1376,0.815,6.725,,,,
10/3/2018,3:45,3:45,10/3/2018 3:45,1,21,1376,0.1376,0.816,6.726,,,,
10/3/2018,4:00,4:00,10/3/2018 4:00,1,21,1376,0.1376,0.818,6.728,,,,
10/3/2018,4:15,4:15,10/3/2018 4:15,1,21,1376,0.1376,0.825,6.735,,,,
10/3/2018,4:30,4:30,10/3/2018 4:30,1,21,1376,0.1376,0.82,6.73,,,,
10/3/2018,4:45,4:45,10/3/2018 4:45,1,21,1376,0.1376,0.83,6.74,,,,
10/3/2018,5:00,5:00,10/3/2018 5:00,1,20.9,1376,0.1376,0.82,6.73,,,,
10/3/2018,5:15,5:15,10/3/2018 5:15,1,21,1376,0.1376,0.816,6.726,,,,
10/3/2018,5:30,5:30,10/3/2018 5:30,1,20.9,1376,0.1376,0.822,6.732,,,,
10/3/2018,5:45,5:45,10/3/2018 5:45,1,20.9,1376,0.1376,0.823,6.733,,,,
10/3/2018,6:00,6:00,10/3/2018 6:00,1,20.9,1376,0.1376,0.816,6.726,,,,
10/3/2018,6:15,6:15,10/3/2018 6:15,1,20.9,1376,0.1376,0.825,6.735,,,,
10/3/2018,6:30,6:30,10/3/2018 6:30,1,20.9,1376,0.1376,0.833,6.743,0.06692917,,,
10/3/2018,6:45,6:45,10/3/2018 6:45,1,20.9,1376,0.1376,0.836,6.746,,,,
10/3/2018,7:00,7:00,10/3/2018 7:00,1,20.9,1376,0.1376,0.826,6.736,,,,
10/3/2018,7:15,7:15,10/3/2018 7:15,1,20.9,1376,0.1376,0.827,6.737,,,,
10/3/2018,7:30,7:30,10/3/2018 7:30,1,20.9,1376,0.1376,0.828,6.738,0.11023628,,,
10/3/2018,7:45,7:45,10/3/2018 7:45,1,20.9,1376,0.1376,0.827,6.737,,,,
10/3/2018,8:00,8:00,10/3/2018 8:00,1,20.9,1376,0.1376,0.839,6.749,,,,
10/3/2018,8:15,8:15,10/3/2018 8:15,1,20.9,1375,0.1375,0.884,6.794,,,,
10/3/2018,8:30,8:30,10/3/2018 8:30,1,20.9,1374,0.1374,0.951,6.861,0.01968505,,,
10/3/2018,8:45,8:45,10/3/2018 8:45,1,20.9,1374,0.1374,1.031,6.941,,,,
10/3/2018,9:00,9:00,10/3/2018 9:00,1,20.9,1374,0.1374,1.064,6.974,,,,
10/3/2018,9:15,9:15,10/3/2018 9:15,1,20.9,1373,0.1373,1.088,6.998,,,,
10/3/2018,9:30,9:30,10/3/2018 9:30,1,20.9,1372,0.1372,1.133,7.043,0.06299216,,,
10/3/2018,9:45,9:45,10/3/2018 9:45,1,20.9,1372,0.1372,1.155,7.065,,,,
10/3/2018,10:00,10:00,10/3/2018 10:00,1,20.9,1371,0.1371,1.177,7.087,,,,
10/3/2018,10:15,10:15,10/3/2018 10:15,1,20.9,1370,0.137,1.186,7.096,,,,
10/3/2018,10:30,10:30,10/3/2018 10:30,1,20.9,1370,0.137,1.203,7.113,0.01968505,,,
10/3/2018,10:45,10:45,10/3/2018 10:45,1,20.9,1368,0.1368,1.231,7.141,,,,
10/3/2018,11:00,11:00,10/3/2018 11:00,1,20.9,1368,0.1368,1.254,7.164,,,,
10/3/2018,11:15,11:15,10/3/2018 11:15,1,20.9,1367,0.1367,1.3,7.21,,,,
10/3/2018,11:30,11:30,10/3/2018 11:30,1,20.9,1367,0.1367,1.339,7.249,0.1181103,,,
10/3/2018,11:45,11:45,10/3/2018 11:45,1,20.9,1366,0.1366,1.353,7.263,,,,
10/3/2018,12:00,12:00,10/3/2018 12:00,1,20.9,1365,0.1365,1.366,7.276,,,,
10/3/2018,12:15,12:15,10/3/2018 12:15,1,20.9,1365,0.1365,1.381,7.291,,,,
10/3/2018,12:30,12:30,10/3/2018 12:30,1,20.9,1366,0.1366,1.398,7.308,0.12598432,,,
10/3/2018,12:45,12:45,10/3/2018 12:45,1,20.9,1367,0.1367,1.41,7.32,,,,
10/3/2018,13:00,13:00,10/3/2018 13:00,1,20.9,1367,0.1367,1.467,7.377,,,,
10/3/2018,13:15,13:15,10/3/2018 13:15,1,20.9,1366,0.1366,1.542,7.452,,,,
10/3/2018,13:30,13:30,10/3/2018 13:30,1,20.9,1365,0.1365,1.603,7.513,,,,
10/3/2018,13:45,13:45,10/3/2018 13:45,1,20.9,1363,0.1363,1.675,7.585,,,,
10/3/2018,14:00,14:00,10/3/2018 14:00,1,20.9,1362,0.1362,1.732,7.642,,,,
10/3/2018,14:15,14:15,10/3/2018 14:15,1,20.9,1362,0.1362,1.75,7.66,,,,
10/3/2018,14:30,14:30,10/3/2018 14:30,1,20.9,1362,0.1362,1.772,7.682,,,,
10/3/2018,14:45,14:45,10/3/2018 14:45,1,20.9,1362,0.1362,1.787,7.697,,,,
10/3/2018,15:00,15:00,10/3/2018 15:00,1,20.9,1360,0.136,1.799,7.709,,,,
10/3/2018,15:15,15:15,10/3/2018 15:15,1,20.9,1360,0.136,1.793,7.703,,,,
10/3/2018,15:30,15:30,10/3/2018 15:30,1,20.9,1362,0.1362,1.818,7.728,,,,
10/3/2018,15:45,15:45,10/3/2018 15:45,1,20.9,1360,0.136,1.798,7.708,,,,
10/3/2018,16:00,16:00,10/3/2018 16:00,1,20.9,1360,0.136,1.808,7.718,,,,
10/3/2018,16:15,16:15,10/3/2018 16:15,1,20.9,1360,0.136,1.799,7.709,,,,
10/3/2018,16:30,16:30,10/3/2018 16:30,1,20.9,1363,0.1363,1.81,7.72,,,,
10/3/2018,16:45,16:45,10/3/2018 16:45,1,20.9,1364,0.1364,1.792,7.702,,,,
10/3/2018,17:00,17:00,10/3/2018 17:00,1,20.9,1368,0.1368,1.786,7.696,,,,
